Profile: Function timing, sorted by time
Date:    Sat Nov 24 12:01:50 2018


Program Statistics
------------------
    Command line at 2018 Nov 24 11:54: ShevTest.exe
    Start function: maxParallelogramInConvexPolyhedronA(class Shev::Polyhedron const &)
    Total time: 11925.191 millisecond
    Time outside of functions: 59.740 millisecond
    Call depth: 6
    Total functions: 868
    Total hits: 17122952
    Function coverage: 7.5%
    Overhead Calculated 13437
    Overhead Average 13437

Module Statistics for shevtest.exe
----------------------------------
    Time in module: 11865.450 millisecond
    Percent of time in module: 100.0%
    Functions in module: 868
    Hits in module: 17122952
    Module function coverage: 7.5%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.000   0.0        3.424   0.0       53 DynArray<class SegmentEnd<9> >::~DynArray<class SegmentEnd<9> >(void) (opti2d_3d.obj)
       0.000   0.0        0.000   0.0        5 LinTran2d::LinTran2d(void) (opti2d.obj)
       0.000   0.0        0.000   0.0        5 Parallelogram2d::Parallelogram2d(void) (opti2d.obj)
       0.000   0.0        0.000   0.0        5 Parallelogram3d::Parallelogram3d(void) (opti2d.obj)
       0.000   0.0        0.000   0.0        1 Parallelogram3d::operator*=(class Conform3d const &) (opti2d_3d.obj)
       0.000   0.0        0.007   0.0        1 SL::List<class Vertex<9> >::resize(unsigned int,class SL::List<class Vertex<9> > &) (opti2d_3d.obj)
       0.000   0.0        0.000   0.0    51688 SL::ShevItem::~ShevItem(void) (shevlist.obj)
       0.000   0.0        0.000   0.0       10 SL::ShevList::addAftLas(class SL::ShevItem *) (shevlist.obj)
       0.000   0.0        0.000   0.0        1 SL::ShevList::addAllBefFir(class SL::ShevList &) (shevlist.obj)
       0.000   0.0        0.000   0.0    64373 SL::ShevList::outLas(void) (shevlist.obj)
       0.000   0.0        0.000   0.0        5 SortItem<double,unsigned int>::SortItem<double,unsigned int>(void) (opti2d.obj)
       0.000   0.0        0.000   0.0        1 Spin3d::Spin3d(void) (opti2d_3d.obj)
       0.000   0.0        0.000   0.0        3 Spin3d::getReper(class Vector3d &,class Vector3d &,class Vector3d &) (vector3d.obj)
       0.000   0.0        0.000   0.0        5 Vector2d::Vector2d(void) (opti2d.obj)
       0.000   0.0        0.000   0.0        5 Vector3d::Vector3d(double,double,double) (draw.obj)
       0.000   0.0        0.000   0.0        5 Vector3d::Vector3d(void) (opti2d.obj)
       0.000   0.0        0.000   0.0        3 Vector3d::mul(class Similar3d const &,...) (draw.obj)
       0.000   0.0        0.000   0.0        1 normU(class Vector3d const &) (vector3d.obj)
       0.000   0.0        0.000   0.0        4 operator*(class Vector3d const &,double) (draw.obj)
       0.000   0.0        0.000   0.0        2 operator-(class Vector3d const &,class Vector3d const &) (approx3d.obj)
