Suite
-0.188397	4.52653
800371510 1073768595	3587721152 1070726622
1476379960 1073280193	1280527443 1071333722
2838357668 1073014730	3728658742 1071425297
2698236276 1072898261	3546066049 1071645171
2670200828 1072872885	2614241378 1071684004
427834926 1072858205	2815284847 1071697097
4149718976 1072709055	1796251596 1071761844
198961192 1072697087	1983215312 1071774655
975337092 1072605487	1314813062 1071867053
1388769384 1072456858	4119957382 1071958837
810303064 1072350451	3187101498 1071881377
2453106740 1072192226	111273992 1072067997
3560895928 1072001995	3460301868 1072150921
50404856 1071037655	1884248886 1072596136
3248235416 1071020697	601932446 1072603337
1039747376 1070994064	1350027080 1072609682
1641048816 1070870518	2618531929 1072604019
3527964928 1067051672	2305230274 1072487466
2870954880 3216814217	1207930609 1072416988
3506931200 3217510334	1443130836 1072441069
3868233216 3217726928	2283467448 1072420065
708278432 3217822661	3762639832 1072406000
627494496 3218081621	870758599 1072382912
4052330376 3219328936	2486612223 1072490799
3770318820 3219502385	313493415 1072516207
2673128360 3219917790	668209130 1072464945
3112760898 3220501230	146290202 1072361244
3754222574 3220846187	803073302 1072208185
2737155136 3220967672	2973992624 1072101048
1454490676 3221049001	1109637851 1071946221
3889806888 3221118788	503307635 1071819224
937938550 3221564346	2399328606 3217321151
1717315861 3221674591	1596672718 3218582354
10324297 3221728833	213705455 3219160626
2347451139 3221770685	1044754898 3219846403
78819172 3221829729	2316644226 3220495840
2128941955 3221840279	510478299 3220641823
1292660814 3221853036	3658084613 3220677696
1903260495 3221855547	1259599237 3220701402
3622571075 3221860840	3802874268 3220775993
4124453476 3221870911	313403512 3221127260
2451041955 3221832574	3907577137 3221153513
1189041883 3221616134	459890666 3221273600
736598171 3221583349	1447645144 3221285562
3473313574 3221331734	843562311 3221371109
3680294298 3221177437	2096803148 3221421815
2614146180 3221130315	1789614019 3221429000
1681416132 3221091888	2017575532 3221434962
1861027832 3221006365	3628941367 3221449706
1515850220 3220983229	2635919493 3221450760
2864698642 3220691048	3839058062 3221458901
4125046546 3220408911	3315881285 3221432066
67055504 3219842203	1759264711 3221383600
2093457820 3219497985	117392328 3221358959
4102437908 3219228577	4139679717 3221342841
2072505568 3218559226	1520602449 3221317282
1439068608 1069079146	1539720515 3221253010
2418799528 1071236132	2646726871 3221195433
565633016 1071628560	718867160 3221183015
3839390004 1071723631	3221589456 3221167247
4202439728 1072046911	2625939299 3221110627
102251960 1072165263	2268075079 3221092069
3755059528 1072246081	4139175065 3221071528
2824568396 1072374502	1317775858 3221061131
1851554968 1072417968	590853998 3221029741
2578007472 1072472438	2416381442 3221001319
2193886432 1072622578	3331173566 3220987926
1824425034 1072717756	525316971 3220921621
1334960172 1072781033	3444620791 3220811729
714233620 1072934916	3138403545 3220567738
145895800 1072943326	1719486237 3220550304
3318759036 1072946182	4199033265 3220545150
3781650586 1072948981	673991988 3220531653
4064614022 1072953703	2571220431 3220521477
2921840186 1073077747	1296973356 3220014249
3393948958 1073174956	3566389137 3219517842
2060915362 1073313586	1033023728 3219263118
2632124116 1073462047	1406300838 3218719900
3078071628 1073650157	1564959184 3217805160
1431539112 1073676159	3593727430 3217362175
4075341846 1073687880	4127502118 3217058233
2447863350 1073723893	3917651568 3214897685
2266060873 1073786186	505162420 1070688259

Circle2d
Suite
0.646993	-0.689822
0.633459	-0.483324
0.593087	-0.280359
0.526567	-0.0843996
0.43504	0.1012
0.320069	0.273266
0.183623	0.428852
0.0280367	0.565298
-0.144029	0.680269
-0.329629	0.771797
-0.525588	0.838316
-0.728553	0.878688
-0.935051	0.892222
-1.14155	0.878688
-1.34451	0.838316
-1.54047	0.771797
-1.72607	0.680269
-1.89814	0.565298
-2.05372	0.428852
-2.19017	0.273266
-2.30514	0.1012
-2.39667	-0.0843996
-2.46319	-0.280359
-2.50356	-0.483324
-2.5171	-0.689822
-2.50356	-0.89632
-2.46319	-1.09928
-2.39667	-1.29524
-2.30514	-1.48084
-2.19017	-1.65291
-2.05372	-1.8085
-1.89814	-1.94494
-1.72607	-2.05991
-1.54047	-2.15144
-1.34451	-2.21796
-1.14155	-2.25833
-0.935051	-2.27187
-0.728553	-2.25833
-0.525588	-2.21796
-0.329629	-2.15144
-0.144029	-2.05991
0.0280367	-1.94494
0.183623	-1.8085
0.320069	-1.65291
0.43504	-1.48084
0.526567	-1.29524
0.593087	-1.09928
0.633459	-0.89632

Circle2d
Suite:BIN
2138930554 1071952939	297196738 3219526405
1583970602 1071924555	3802656331 3219058373
2755145184 1071839888	522176791 3218207077
4240176306 1071700387	354886824 3216350007
2585141432 1071372208	623608824 1069148228
3098680872 1070889987	2511831688 1070693679
2286212768 1070039288	2066410464 1071346257
3941605280 1067234725	2010992476 1071781612
1534803744 3217190792	3901706402 1072022722
4233251256 3218413730	2554344698 1072214670
722740433 3219181981	1069313576 1072354171
2362980201 3219607629	4193106288 1072438837
2906332426 3220040687	453098944 1072467222
3872325970 3220325320	4193106290 1072438837
397478560 3220538145	1069313578 1072354171
3995503259 3220743622	2554344698 1072214670
2714481957 3220938238	3901706404 1072022722
1155980680 3221118662	2010992480 1071781612
1596054512 3221253639	2066410468 1071346257
1303630411 3221325176	2511831694 1070693679
3923792540 3221385453	623608864 1069148228
3586952114 3221433440	354886760 3216350007
4289436158 3221468315	522176771 3218207077
2922900688 3221489482	3802656320 3219058373
3061640676 3221496578	297196737 3219526405
2922900689 3221489482	840548949 3219959463
4289436158 3221468315	3387878010 3220281003
3586952115 3221433440	2690935413 3220486481
3923792541 3221385453	1409914113 3220681097
1303630413 3221325176	4146380129 3220861520
1596054514 3221253639	1887541177 3221024665
1155980684 3221118662	1302692977 3221167739
2714481962 3220938238	1124024970 3221256883
3995503265 3220743622	787184544 3221304870
397478567 3220538145	1489668587 3221339745
3872325979 3220325320	123133118 3221360912
2906332429 3220040687	261873106 3221368008
2362980223 3219607629	123133119 3221360912
722740442 3219181981	1489668588 3221339745
4233251274 3218413730	787184545 3221304870
1534803788 3217190792	1124024973 3221256883
3941604928 1067234725	1302692982 3221167739
2286212728 1070039288	1887541185 3221024665
3098680864 1070889987	4146380136 3220861520
2585141412 1071372208	1409914124 3220681097
4240176296 1071700387	2690935427 3220486481
2755145180 1071839888	3387878019 3220281003
1583970600 1071924555	840548973 3219959463

maxCircleInPolygon: failed after checkout
Suite
2.01614	0.205388
1.89528	0.237748
1.45078	0.366818
1.22121	0.384278
1.11966	0.432248
1.08814	0.45651
1.06995	0.464599
0.942358	0.491424
0.921065	0.502836
0.835023	0.586821
0.810594	0.601988
0.754523	0.558541
0.66947	0.659868
0.606094	0.687388
0.34885	0.861986
0.290015	0.892025
0.250845	0.905306
-0.0385196	0.843793
-0.204541	0.799403
-0.260058	0.808058
-0.280498	0.7996
-0.296535	0.789642
-0.33999	0.773203
-0.650236	0.817187
-0.757338	0.832094
-1.00741	0.797574
-1.38436	0.749161
-1.7556	0.660293
-1.84214	0.619304
-1.90168	0.55845
-1.95481	0.506524
-2.70227	-0.288941
-2.90947	-0.511022
-3.0054	-0.655862
-3.07202	-0.965868
-3.15994	-1.37551
-3.18234	-1.57453
-3.217	-1.62634
-3.22342	-1.66119
-3.23658	-1.77418
-3.2389	-1.83806
-3.07526	-1.89362
-2.6927	-2.0415
-2.6347	-2.06252
-2.12078	-2.23578
-1.85503	-2.33869
-1.81516	-2.3507
-1.77615	-2.36267
-1.70402	-2.38734
-1.67372	-2.38985
-1.42121	-2.40163
-1.14204	-2.34432
-0.793408	-2.25393
-0.602246	-2.19585
-0.454621	-2.15814
-0.246872	-2.09941
0.161027	-1.98408
0.473754	-1.89566
0.569244	-1.88233
0.605467	-1.86847
0.755391	-1.81294
0.758279	-1.81121
0.761484	-1.81026
0.762831	-1.80551
0.808634	-1.795
0.81896	-1.79157
0.857826	-1.77081
0.910216	-1.76159
0.936204	-1.7225
0.968417	-1.68759
1.02602	-1.67686
1.10164	-1.59097
1.15167	-1.50049
1.29984	-1.25644
1.30345	-1.24961
1.42004	-0.821521
1.51077	-0.574846
1.6397	-0.449974
1.77907	-0.281903
1.94414	-0.101833
1.97594	-0.0280702
1.99075	0.0251134
2.04025	0.180311
2.04449	0.194237

Suite:BIN
2217847024 1073750286	3156723075 1070221864
1162632756 1073632018	3611078902 1070493317
127452140 1073165926	3939082511 1071086064
115817366 1072925202	2582534068 1071159298
2705154824 1072818723	678394076 1071360500
3581551012 1072785670	3621377663 1071462261
3039077712 1072766598	2366630139 1071496189
405862824 1072572364	2858961203 1071608700
2129757288 1072527708	2298847672 1071650618
3314455456 1072347266	3456690589 1071826747
108535048 1072296034	337220808 1071858557
3861922484 1072178445	2922870461 1071767441
472728780 1072000077	2202337375 1071979938
3088129504 1071867167	3873116914 1072037653
4231362792 1071010703	2792729692 1072403811
3235625552 1070763931	4241061266 1072466808
1898991896 1070599638	3383457084 1072494660
297285760 3215177943	790653967 1072365659
736546336 3217698410	2490636134 1072272565
195620792 3218121929	1046930809 1072290717
4034128416 3218207663	1439453032 1072272979
905012344 3218274924	3070946156 1072252095
1273618192 3218457190	4021837325 1072217619
903286656 3219443388	745096501 1072309861
713822224 3219667996	2931664774 1072341122
876946096 3220184661	4208361466 1072268728
1160093218 3220579927	1688979912 1072167201
3283190278 3220969196	1752687865 1071980831
290319884 3221059944	1378490569 1071894871
2311568228 3221122374	1125144883 1071767251
1305716804 3221178082	4205576916 1071658353
1184192793 3221593664	1659039203 3218243072
676850601 3221702297	4249765444 3219151433
